Product Name,Brand,Item Number,Mfr #,Category Hierarchy,Product URL,Qty,Price,Unit,Availability,Description,Attributes,Image URLs,Alternative Product URL,Alternative Item Number
Aquasoft gloves x-small 300/box,Halyard,3021302,43932,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aquasoft,https://www.safcodental.com/product/aquasoft,1,31.49,300/box,In stock,Powder-free nitrile exam gloves.,"X-small, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbt.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aquasoft gloves small 300/box,Halyard,3021304,43933,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aquasoft,https://www.safcodental.com/product/aquasoft,1,31.49,300/box,In stock,Powder-free nitrile exam gloves.,"Small, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbt.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aquasoft gloves medium 300/box,Halyard,3021306,43934,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aquasoft,https://www.safcodental.com/product/aquasoft,1,31.49,300/box,Backorder,Powder-free nitrile exam gloves.,"Medium, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbt.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aquasoft gloves large 300/box,Halyard,3021308,43935,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aquasoft,https://www.safcodental.com/product/aquasoft,1,31.49,300/box,In stock,Powder-free nitrile exam gloves.,"Large, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbt.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aquasoft gloves x-large 250/box,Halyard,3021309,43936,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Aquasoft,https://www.safcodental.com/product/aquasoft,1,31.49,250/box,In stock,Powder-free nitrile exam gloves.,"X-large, 250/box","https://www.safcodental.com/media/catalog/product/d/r/drcbt.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
BeeSure SuperSlim nitrile gloves x-small 300/box,EcoBee,4712101,BE1145,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > BeeSure SuperSlim Nitrile,https://www.safcodental.com/product/beesure-reg-superslim-trade-nitrile,1,19.99,300/box,Backorder,Powder-free nitrile exam gloves.,"X-small, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbo.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
BeeSure SuperSlim nitrile gloves small 300/box,EcoBee,4712103,BE1146,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > BeeSure SuperSlim Nitrile,https://www.safcodental.com/product/beesure-reg-superslim-trade-nitrile,1,19.99,300/box,Backorder,Powder-free nitrile exam gloves.,"Small, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbo.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
BeeSure SuperSlim nitrile gloves medium 300/box,EcoBee,4712105,BE1147,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > BeeSure SuperSlim Nitrile,https://www.safcodental.com/product/beesure-reg-superslim-trade-nitrile,1,19.99,300/box,Backorder,Powder-free nitrile exam gloves.,"Medium, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbo.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
BeeSure SuperSlim nitrile gloves large 300/box,EcoBee,4712107,BE1148,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > BeeSure SuperSlim Nitrile,https://www.safcodental.com/product/beesure-reg-superslim-trade-nitrile,1,19.99,300/box,Backorder,Powder-free nitrile exam gloves.,"Large, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbo.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Microflex Ultraform gloves x-small 300/box,Ansell,4751240,UF-524-XS,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Microflex Ultraform,https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup,1,33.49,300/box,In stock,Powder-free nitrile exam gloves. Ultra-soft and form fitting. Textured fingertip finish Beaded cuff Chlorinated Ambidextrous Cobalt blue color Thickness: at palm 2.0 mils; at fingertip 3.1 mils 300 gloves per box (250 for x-large) Order 10 boxes to purchase a case,"X-small, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbj.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
